1,5,1
1,16,1
1,20,1
1,35,1
1,36,1
1,75,1
1,76,2
1,84,1
1,91,1
1,112,2
2,8,1
2,26,1
2,43,1
2,44,1
2,58,1
2,74,1
2,90,1
2,106,1
3,5,8
3,9,2
3,12,8
3,13,2
3,16,4
3,18,1
3,24,1
3,39,1
3,58,2
3,73,2
3,76,7
3,89,1
3,96,5
3,98,3
3,111,3
3,112,29
4,13,1
4,27,1
4,35,1
4,45,1
4,64,1
4,73,1
4,112,1
5,9,9
5,12,7
5,13,14
5,16,15
5,18,4
5,19,1
5,20,17
5,24,10
5,28,1
5,33,1
5,35,13
5,36,12
5,39,10
5,49,2
5,51,4
5,56,6
5,58,9
5,60,1
5,62,1
5,73,12
5,75,15
5,76,51
5,77,1
5,78,2
5,80,2
5,83,3
5,84,3
5,86,3
5,89,4
5,91,2
5,96,15
5,97,2
5,98,4
5,99,3
5,101,2
5,102,5
5,110,1
5,111,55
5,112,125
6,22,1
6,24,1
6,49,1
6,78,1
6,85,1
6,112,1
7,58,2
7,97,1
7,112,1
8,26,1
8,43,1
8,44,1
8,58,1
8,74,1
8,90,1
8,106,1
9,12,1
9,16,1
9,35,7
9,39,7
9,54,1
9,56,7
9,58,1
9,60,1
9,67,1
9,73,8
9,76,3
9,78,2
9,83,2
9,87,1
9,88,2
9,96,2
9,98,1
9,111,6
9,112,11
10,68,1
10,111,1
10,112,1
11,40,1
11,83,1
11,93,1
12,13,8
12,16,13
12,18,7
12,20,5
12,21,2
12,24,1
12,28,3
12,31,1
12,32,1
12,35,4
12,36,2
12,37,1
12,39,3
12,42,5
12,49,1
12,54,1
12,56,2
12,58,2
12,60,2
12,68,1
12,73,4
12,75,3
12,76,6
12,78,2
12,80,2
12,82,1
12,83,3
12,86,3
12,88,1
12,96,5
12,98,6
12,102,1
12,109,1
12,111,15
12,112,58
13,15,1
13,16,1
13,17,1
13,19,1
13,21,1
13,23,1
13,24,48
13,27,1
13,28,3
13,29,1
13,32,1
13,35,10
13,39,12
13,42,15
13,45,1
13,49,10
13,54,3
13,56,3
13,57,1
13,58,7
13,64,1
13,68,11
13,73,22
13,76,16
13,78,44
13,84,2
13,85,3
13,86,5
13,89,16
13,96,3
13,98,4
13,101,5
13,102,6
13,109,1
13,111,40
13,112,213
13,115,1
14,45,1
14,54,3
14,73,1
14,78,1
14,86,1
14,102,2
14,111,2
14,112,2
15,89,1
15,112,1
16,18,10
16,20,6
16,21,1
16,24,2
16,28,5
16,31,1
16,35,4
16,36,6
16,39,4
16,51,1
16,54,2
16,56,1
16,58,5
16,62,1
16,73,3
16,75,6
16,76,14
16,78,1
16,80,2
16,82,5
16,83,10
16,86,1
16,89,1
16,91,2
16,96,3
16,98,4
16,99,1
16,110,1
16,111,16
16,112,39
17,24,1
17,89,1
17,92,1
17,97,1
